"COU","Country","TAX","Income Tax","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"POL","Poland","TOP_TRATE","Top tax rates","2000","2000","PC","Percentage","0","Units",,,40,,
"POL","Poland","TOP_TRATE","Top tax rates","2001","2001","PC","Percentage","0","Units",,,40,,
"POL","Poland","TOP_TRATE","Top tax rates","2002","2002","PC","Percentage","0","Units",,,40,,
"POL","Poland","TOP_TRATE","Top tax rates","2003","2003","PC","Percentage","0","Units",,,40,,
"POL","Poland","TOP_TRATE","Top tax rates","2004","2004","PC","Percentage","0","Units",,,40,,
"POL","Poland","TOP_TRATE","Top tax rates","2005","2005","PC","Percentage","0","Units",,,40,,
"POL","Poland","TOP_TRATE","Top tax rates","2006","2006","PC","Percentage","0","Units",,,40,,
"POL","Poland","TOP_TRATE","Top tax rates","2007","2007","PC","Percentage","0","Units",,,40,,
"POL","Poland","TOP_TRATE","Top tax rates","2008","2008","PC","Percentage","0","Units",,,40,,
"POL","Poland","TOP_TRATE","Top tax rates","2009","2009","PC","Percentage","0","Units",,,32,,
"POL","Poland","TOP_TRATE","Top tax rates","2010","2010","PC","Percentage","0","Units",,,32,,
"POL","Poland","TOP_TRATE","Top tax rates","2011","2011","PC","Percentage","0","Units",,,32,,
"POL","Poland","TOP_TRATE","Top tax rates","2012","2012","PC","Percentage","0","Units",,,32,,
"POL","Poland","TOP_TRATE","Top tax rates","2013","2013","PC","Percentage","0","Units",,,32,,
"POL","Poland","TOP_TRATE","Top tax rates","2014","2014","PC","Percentage","0","Units",,,32,,
"POL","Poland","TOP_TRATE","Top tax rates","2015","2015","PC","Percentage","0","Units",,,32,,
"POL","Poland","TOP_TRATE","Top tax rates","2016","2016","PC","Percentage","0","Units",,,32,,
"POL","Poland","TOP_TRATE","Top tax rates","2017","2017","PC","Percentage","0","Units",,,32,,
"POL","Poland","TOP_TRATE","Top tax rates","2018","2018","PC","Percentage","0","Units",,,32,,
"POL","Poland","TOP_TRATE","Top tax rates","2019","2019","PC","Percentage","0","Units",,,32,,
"JPN","Japan","PERS_ITAX","Personal income tax","2000","2000","PC","Percentage","0","Units",,,47.3,,
"JPN","Japan","PERS_ITAX","Personal income tax","2001","2001","PC","Percentage","0","Units",,,47.3,,
"JPN","Japan","PERS_ITAX","Personal income tax","2002","2002","PC","Percentage","0","Units",,,47.15,,
"JPN","Japan","PERS_ITAX","Personal income tax","2003","2003","PC","Percentage","0","Units",,,47.15,,
"JPN","Japan","PERS_ITAX","Personal income tax","2004","2004","PC","Percentage","0","Units",,,47.15,,
"JPN","Japan","PERS_ITAX","Personal income tax","2005","2005","PC","Percentage","0","Units",,,47.1125,,
"JPN","Japan","PERS_ITAX","Personal income tax","2006","2006","PC","Percentage","0","Units",,,47.1,,
"JPN","Japan","PERS_ITAX","Personal income tax","2007","2007","PC","Percentage","0","Units",,,47.2,,
"JPN","Japan","PERS_ITAX","Personal income tax","2008","2008","PC","Percentage","0","Units",,,47.2,,
"JPN","Japan","PERS_ITAX","Personal income tax","2009","2009","PC","Percentage","0","Units",,,47.3,,
"JPN","Japan","PERS_ITAX","Personal income tax","2010","2010","PC","Percentage","0","Units",,,47.225,,
"JPN","Japan","PERS_ITAX","Personal income tax","2011","2011","PC","Percentage","0","Units",,,47.2,,
"JPN","Japan","PERS_ITAX","Personal income tax","2012","2012","PC","Percentage","0","Units",,,47.25,,
"JPN","Japan","PERS_ITAX","Personal income tax","2013","2013","PC","Percentage","0","Units",,,50.5858,,
"JPN","Japan","PERS_ITAX","Personal income tax","2014","2014","PC","Percentage","0","Units",,,50.5858,,
"JPN","Japan","PERS_ITAX","Personal income tax","2015","2015","PC","Percentage","0","Units",,,55.665275,,
"JPN","Japan","PERS_ITAX","Personal income tax","2016","2016","PC","Percentage","0","Units",,,55.721221,,
"JPN","Japan","PERS_ITAX","Personal income tax","2017","2017","PC","Percentage","0","Units",,,55.777165,,
"JPN","Japan","PERS_ITAX","Personal income tax","2018","2018","PC","Percentage","0","Units",,,55.777165,,
"JPN","Japan","PERS_ITAX","Personal income tax","2019","2019","PC","Percentage","0","Units",,,55.777165,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2000","2000","PC","Percentage","0","Units",,,48,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2001","2001","PC","Percentage","0","Units",,,48,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2002","2002","PC","Percentage","0","Units",,,48,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2003","2003","PC","Percentage","0","Units",,,45,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2004","2004","PC","Percentage","0","Units",,,45,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2005","2005","PC","Percentage","0","Units",,,45,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2006","2006","PC","Percentage","0","Units",,,45,,
