Congress,Year,Party,Religion,Members
89,1965,D,All other,62
89,1965,R,All other,43
89,1965,Total,All other,105
89,1965,D,Baptist,33
89,1965,R,Baptist,9
89,1965,Total,Baptist,42
89,1965,D,Catholic,81
89,1965,R,Catholic,13
89,1965,Total,Catholic,94
89,1965,D,Episcopalian,29
89,1965,R,Episcopalian,25
89,1965,Total,Episcopalian,54
89,1965,D,Jewish,14
89,1965,R,Jewish,1
89,1965,Total,Jewish,15
89,1965,D,Lutheran,.
89,1965,R,Lutheran,.
89,1965,Total,Lutheran,.
89,1965,D,Methodist,46
89,1965,R,Methodist,23
89,1965,Total,Methodist,69
89,1965,D,Mormon,.
89,1965,R,Mormon,.
89,1965,Total,Mormon,.
89,1965,D,Presbyterian,30
89,1965,R,Presbyterian,26
89,1965,Total,Presbyterian,56
89,1965,D,Protestant- other,.
89,1965,R,Protestant- other,.
89,1965,Total,Protestant- other,.
89,1965,D,Total,295
89,1965,R,Total,140
89,1965,Total,Total,435
90,1967,D,All other,42
90,1967,R,All other,57
90,1967,Total,All other,99
90,1967,D,Baptist,30
90,1967,R,Baptist,12
90,1967,Total,Baptist,42
90,1967,D,Catholic,73
90,1967,R,Catholic,22
90,1967,Total,Catholic,95
90,1967,D,Episcopalian,25
90,1967,R,Episcopalian,25
90,1967,Total,Episcopalian,50
90,1967,D,Jewish,14
90,1967,R,Jewish,2
90,1967,Total,Jewish,16
90,1967,D,Lutheran,.
90,1967,R,Lutheran,.
90,1967,Total,Lutheran,.
90,1967,D,Methodist,36
90,1967,R,Methodist,32
90,1967,Total,Methodist,68
90,1967,D,Mormon,.
90,1967,R,Mormon,.
90,1967,Total,Mormon,.
90,1967,D,Presbyterian,26
90,1967,R,Presbyterian,37
90,1967,Total,Presbyterian,63
90,1967,D,Protestant- other,.
90,1967,R,Protestant- other,.
90,1967,Total,Protestant- other,.
90,1967,D,Total,249
90,1967,R,Total,184
90,1967,Total,Total,433
91,1969,D,All other,44
91,1969,R,All other,53
91,1969,Total,All other,97
91,1969,D,Baptist,30
91,1969,R,Baptist,13
91,1969,Total,Baptist,43
91,1969,D,Catholic,75
91,1969,R,Catholic,22
91,1969,Total,Catholic,97
91,1969,D,Episcopalian,22
91,1969,R,Episcopalian,28
91,1969,Total,Episcopalian,50
91,1969,D,Jewish,14
91,1969,R,Jewish,2
91,1969,Total,Jewish,16
91,1969,D,Lutheran,.
91,1969,R,Lutheran,.
91,1969,Total,Lutheran,.
91,1969,D,Methodist,34
91,1969,R,Methodist,33
91,1969,Total,Methodist,67
91,1969,D,Mormon,.
91,1969,R,Mormon,.
