Congress,Year,Party,Religion,Senators
89,1965,D,All other,15
89,1965,R,All other,9
89,1965,Total,All other,24
90,1967,D,All other,14
90,1967,R,All other,10
90,1967,Total,All other,24
91,1969,D,All other,13
91,1969,R,All other,12
91,1969,Total,All other,25
92,1971,D,All other,13
92,1971,R,All other,12
92,1971,Total,All other,25
93,1973,D,All other,11
93,1973,R,All other,11
93,1973,Total,All other,22
94,1975,D,All other,10
94,1975,R,All other,9
94,1975,Total,All other,19
95,1977,D,All other,11
95,1977,R,All other,8
95,1977,Total,All other,19
96,1979,D,All other,9
96,1979,R,All other,8
96,1979,Total,All other,17
97,1981,D,All other,9
97,1981,R,All other,5
97,1981,Total,All other,14
98,1983,D,All other,7
98,1983,R,All other,5
98,1983,Total,All other,12
99,1985,D,All other,7
99,1985,R,All other,5
99,1985,Total,All other,12
100,1989,D,All other,8
100,1989,R,All other,5
100,1989,Total,All other,13
101,1989,D,All other,8
101,1989,R,All other,4
101,1989,Total,All other,12
102,1991,D,All other,10
102,1991,R,All other,4
102,1991,Total,All other,14
103,1993,D,All other,10
103,1993,R,All other,5
103,1993,Total,All other,15
104,1995,D,All other,8
104,1995,R,All other,9
104,1995,Total,All other,17
105,1997,D,All other,6
105,1997,R,All other,6
105,1997,Total,All other,12
106,1999,D,All other,4
106,1999,R,All other,6
106,1999,Total,All other,10
107,2001,D,All other,5
107,2001,R,All other,4
107,2001,Total,All other,9
108,2003,D,All other,6
108,2003,R,All other,4
108,2003,Total,All other,10
109,2005,D,All other,5
109,2005,R,All other,4
109,2005,Total,All other,9
110,2007,D,All other,5
110,2007,R,All other,3
110,2007,Total,All other,8
111,2009,D,All other,4
111,2009,R,All other,3
111,2009,Total,All other,7
112,2011,D,All other,5
112,2011,R,All other,6
112,2011,Total,All other,11
113,2013,D,All other,4
113,2013,R,All other,0
113,2013,Total,All other,4
114,2015,Total,All other,7
115,2017,D,All other,3
115,2017,R,All other,0
115,2017,Total,All other,3
116,2019,D,All other,5
116,2019,R,All other,0
116,2019,Total,All other,5
89,1965,D,Baptist,9
89,1965,R,Baptist,3
89,1965,Total,Baptist,12
