Congress,Years,Chamber,PartyStatus,Seats
34,1855 - 1857,House,All,234
34,1855 - 1857,House,Democrat,83
34,1855 - 1857,House,Other,43
34,1855 - 1857,House,Republican,108
34,1855 - 1857,House,Vacant,.
35,1857 - 1859,House,All,237
35,1857 - 1859,House,Democrat,131
35,1857 - 1859,House,Other,14
35,1857 - 1859,House,Republican,92
35,1857 - 1859,House,Vacant,.
36,1859 - 1861,House,All,237
36,1859 - 1861,House,Democrat,101
36,1859 - 1861,House,Other,23
36,1859 - 1861,House,Republican,113
36,1859 - 1861,House,Vacant,.
37,1861 - 1863,House,All,178
37,1861 - 1863,House,Democrat,42
37,1861 - 1863,House,Other,28
37,1861 - 1863,House,Republican,106
37,1861 - 1863,House,Vacant,2
38,1863 - 1865,House,All,183
38,1863 - 1865,House,Democrat,80
38,1863 - 1865,House,Other,.
38,1863 - 1865,House,Republican,103
38,1863 - 1865,House,Vacant,.
39,1865 - 1867,House,All,191
39,1865 - 1867,House,Democrat,46
39,1865 - 1867,House,Other,.
39,1865 - 1867,House,Republican,145
39,1865 - 1867,House,Vacant,.
40,1867 - 1869,House,All,193
40,1867 - 1869,House,Democrat,49
40,1867 - 1869,House,Other,.
40,1867 - 1869,House,Republican,143
40,1867 - 1869,House,Vacant,1
41,1869 - 1871,House,All,243
41,1869 - 1871,House,Democrat,73
41,1869 - 1871,House,Other,.
41,1869 - 1871,House,Republican,170
41,1869 - 1871,House,Vacant,.
42,1871 - 1873,House,All,243
42,1871 - 1873,House,Democrat,104
42,1871 - 1873,House,Other,.
42,1871 - 1873,House,Republican,139
42,1871 - 1873,House,Vacant,.
43,1873 - 1875,House,All,293
43,1873 - 1875,House,Democrat,88
43,1873 - 1875,House,Other,.
43,1873 - 1875,House,Republican,203
43,1873 - 1875,House,Vacant,2
44,1875 - 1877,House,All,293
44,1875 - 1877,House,Democrat,181
44,1875 - 1877,House,Other,3
44,1875 - 1877,House,Republican,107
44,1875 - 1877,House,Vacant,2
45,1877 - 1879,House,All,293
45,1877 - 1879,House,Democrat,156
45,1877 - 1879,House,Other,.
45,1877 - 1879,House,Republican,137
45,1877 - 1879,House,Vacant,.
46,1879 - 1881,House,All,293
46,1879 - 1881,House,Democrat,150
46,1879 - 1881,House,Other,14
46,1879 - 1881,House,Republican,128
46,1879 - 1881,House,Vacant,1
47,1881 - 1883,House,All,293
47,1881 - 1883,House,Democrat,130
47,1881 - 1883,House,Other,11
47,1881 - 1883,House,Republican,152
47,1881 - 1883,House,Vacant,.
48,1883 - 1885,House,All,325
48,1883 - 1885,House,Democrat,200
48,1883 - 1885,House,Other,6
48,1883 - 1885,House,Republican,119
48,1883 - 1885,House,Vacant,.
49,1885 - 1887,House,All,325
49,1885 - 1887,House,Democrat,182
49,1885 - 1887,House,Other,2
49,1885 - 1887,House,Republican,140
49,1885 - 1887,House,Vacant,1
50,1887 - 1889,House,All,325
50,1887 - 1889,House,Democrat,170
50,1887 - 1889,House,Other,4
50,1887 - 1889,House,Republican,151
50,1887 - 1889,House,Vacant,.
51,1889 - 1891,House,All,330
51,1889 - 1891,House,Democrat,156
51,1889 - 1891,House,Other,1
51,1889 - 1891,House,Republican,173
51,1889 - 1891,House,Vacant,.
52,1891 - 1893,House,All,333
52,1891 - 1893,House,Democrat,231
52,1891 - 1893,House,Other,14
52,1891 - 1893,House,Republican,88
52,1891 - 1893,House,Vacant,.
53,1893 - 1895,House,All,356
53,1893 - 1895,House,Democrat,220
53,1893 - 1895,House,Other,10
53,1893 - 1895,House,Republican,126
53,1893 - 1895,House,Vacant,.
54,1895 - 1897,House,All,357
54,1895 - 1897,House,Democrat,104
54,1895 - 1897,House,Other,7
54,1895 - 1897,House,Republican,246
54,1895 - 1897,House,Vacant,.
55,1897 - 1899,House,All,357
55,1897 - 1899,House,Democrat,134
55,1897 - 1899,House,Other,16
55,1897 - 1899,House,Republican,206
55,1897 - 1899,House,Vacant,1
56,1899 - 1901,House,All,357
56,1899 - 1901,House,Democrat,163
56,1899 - 1901,House,Other,9
56,1899 - 1901,House,Republican,185
56,1899 - 1901,House,Vacant,.
57,1901 - 1903,House,All,357
57,1901 - 1903,House,Democrat,153
57,1901 - 1903,House,Other,5
57,1901 - 1903,House,Republican,198
57,1901 - 1903,House,Vacant,1
58,1903 - 1905,House,All,386
58,1903 - 1905,House,Democrat,178
58,1903 - 1905,House,Other,.
58,1903 - 1905,House,Republican,207
58,1903 - 1905,House,Vacant,1
59,1905 - 1907,House,All,386
59,1905 - 1907,House,Democrat,136
59,1905 - 1907,House,Other,.
59,1905 - 1907,House,Republican,250
59,1905 - 1907,House,Vacant,.
60,1907 - 1909,House,All,386
60,1907 - 1909,House,Democrat,164
60,1907 - 1909,House,Other,.
60,1907 - 1909,House,Republican,222
60,1907 - 1909,House,Vacant,.
61,1909 - 1911,House,All,391
61,1909 - 1911,House,Democrat,172
61,1909 - 1911,House,Other,.
61,1909 - 1911,House,Republican,219
61,1909 - 1911,House,Vacant,.
62,1911 - 1913,House,All,391
62,1911 - 1913,House,Democrat,228
62,1911 - 1913,House,Other,1
62,1911 - 1913,House,Republican,162
62,1911 - 1913,House,Vacant,.
63,1913 - 1915,House,All,435
63,1913 - 1915,House,Democrat,290
63,1913 - 1915,House,Other,18
63,1913 - 1915,House,Republican,127
63,1913 - 1915,House,Vacant,.
64,1915 - 1917,House,All,435
64,1915 - 1917,House,Democrat,231
64,1915 - 1917,House,Other,8
64,1915 - 1917,House,Republican,193
64,1915 - 1917,House,Vacant,3
65,1917 - 1919,House,All,435
65,1917 - 1919,House,Democrat,210
65,1917 - 1919,House,Other,9
65,1917 - 1919,House,Republican,216
65,1917 - 1919,House,Vacant,.
66,1919 - 1921,House,All,435
66,1919 - 1921,House,Democrat,191
66,1919 - 1921,House,Other,7
66,1919 - 1921,House,Republican,237
66,1919 - 1921,House,Vacant,.
67,1921 - 1923,House,All,435
67,1921 - 1923,House,Democrat,132
67,1921 - 1923,House,Other,1
67,1921 - 1923,House,Republican,300
67,1921 - 1923,House,Vacant,2
68,1923 - 1925,House,All,435
68,1923 - 1925,House,Democrat,207
68,1923 - 1925,House,Other,3
68,1923 - 1925,House,Republican,225
68,1923 - 1925,House,Vacant,.
69,1925 - 1927,House,All,435
69,1925 - 1927,House,Democrat,183
69,1925 - 1927,House,Other,5
69,1925 - 1927,House,Republican,247
69,1925 - 1927,House,Vacant,.
70,1927 - 1929,House,All,435
70,1927 - 1929,House,Democrat,195
70,1927 - 1929,House,Other,3
70,1927 - 1929,House,Republican,237
70,1927 - 1929,House,Vacant,.
71,1929 - 1931,House,All,435
71,1929 - 1931,House,Democrat,163
71,1929 - 1931,House,Other,1
71,1929 - 1931,House,Republican,267
71,1929 - 1931,House,Vacant,4
72,1931 - 1933,House,All,435
72,1931 - 1933,House,Democrat,216
72,1931 - 1933,House,Other,1
72,1931 - 1933,House,Republican,218
72,1931 - 1933,House,Vacant,.
73,1933 - 1935,House,All,435
73,1933 - 1935,House,Democrat,313
73,1933 - 1935,House,Other,5
73,1933 - 1935,House,Republican,117
73,1933 - 1935,House,Vacant,.
74,1935 - 1937,House,All,435
74,1935 - 1937,House,Democrat,322
74,1935 - 1937,House,Other,10
74,1935 - 1937,House,Republican,103
74,1935 - 1937,House,Vacant,.
75,1937 - 1939,House,All,435
75,1937 - 1939,House,Democrat,333
75,1937 - 1939,House,Other,13
75,1937 - 1939,House,Republican,89
75,1937 - 1939,House,Vacant,.
76,1939 - 1941,House,All,435
76,1939 - 1941,House,Democrat,262
76,1939 - 1941,House,Other,4
76,1939 - 1941,House,Republican,169
76,1939 - 1941,House,Vacant,.
77,1941 - 1943,House,All,435
77,1941 - 1943,House,Democrat,267
77,1941 - 1943,House,Other,6
77,1941 - 1943,House,Republican,162
77,1941 - 1943,House,Vacant,.
78,1943 - 1945,House,All,435
78,1943 - 1945,House,Democrat,222
78,1943 - 1945,House,Other,4
78,1943 - 1945,House,Republican,209
78,1943 - 1945,House,Vacant,.
79,1945 - 1947,House,All,435
79,1945 - 1947,House,Democrat,243
79,1945 - 1947,House,Other,2
79,1945 - 1947,House,Republican,190
79,1945 - 1947,House,Vacant,.
80,1947 - 1949,House,All,435
80,1947 - 1949,House,Democrat,188
80,1947 - 1949,House,Other,1
80,1947 - 1949,House,Republican,246
80,1947 - 1949,House,Vacant,.
81,1949 - 1951,House,All,435
81,1949 - 1951,House,Democrat,263
81,1949 - 1951,House,Other,1
81,1949 - 1951,House,Republican,171
81,1949 - 1951,House,Vacant,.
82,1951 - 1953,House,All,435
82,1951 - 1953,House,Democrat,234
82,1951 - 1953,House,Other,2
82,1951 - 1953,House,Republican,199
82,1951 - 1953,House,Vacant,.
83,1953 - 1955,House,All,435
83,1953 - 1955,House,Democrat,213
83,1953 - 1955,House,Other,1
83,1953 - 1955,House,Republican,221
83,1953 - 1955,House,Vacant,.
84,1955 - 1957,House,All,435
84,1955 - 1957,House,Democrat,232
84,1955 - 1957,House,Other,.
84,1955 - 1957,House,Republican,203
84,1955 - 1957,House,Vacant,.
85,1957 - 1959,House,All,435
85,1957 - 1959,House,Democrat,234
85,1957 - 1959,House,Other,.
85,1957 - 1959,House,Republican,201
85,1957 - 1959,House,Vacant,.
86,1959 - 1961,House,All,436
86,1959 - 1961,House,Democrat,283
86,1959 - 1961,House,Other,.
86,1959 - 1961,House,Republican,153
86,1959 - 1961,House,Vacant,.
87,1961 - 1963,House,All,437
87,1961 - 1963,House,Democrat,262
87,1961 - 1963,House,Other,.
87,1961 - 1963,House,Republican,175
87,1961 - 1963,House,Vacant,.
88,1963 - 1965,House,All,435
88,1963 - 1965,House,Democrat,258
88,1963 - 1965,House,Other,.
88,1963 - 1965,House,Republican,176
88,1963 - 1965,House,Vacant,1
89,1965 - 1967,House,All,435
89,1965 - 1967,House,Democrat,295
89,1965 - 1967,House,Other,.
89,1965 - 1967,House,Republican,140
89,1965 - 1967,House,Vacant,.
90,1967 - 1969,House,All,435
90,1967 - 1969,House,Democrat,246
90,1967 - 1969,House,Other,.
90,1967 - 1969,House,Republican,187
90,1967 - 1969,House,Vacant,2
91,1969 - 1971,House,All,435
91,1969 - 1971,House,Democrat,243
91,1969 - 1971,House,Other,.
91,1969 - 1971,House,Republican,192
91,1969 - 1971,House,Vacant,.
92,1971 - 1973,House,All,435
92,1971 - 1973,House,Democrat,255
92,1971 - 1973,House,Other,.
92,1971 - 1973,House,Republican,180
92,1971 - 1973,House,Vacant,.
93,1973 - 1975,House,All,435
93,1973 - 1975,House,Democrat,239
93,1973 - 1975,House,Other,1
93,1973 - 1975,House,Republican,192
93,1973 - 1975,House,Vacant,3
94,1975 - 1977,House,All,435
94,1975 - 1977,House,Democrat,291
94,1975 - 1977,House,Other,.
94,1975 - 1977,House,Republican,144
94,1975 - 1977,House,Vacant,.
95,1977 - 1979,House,All,435
95,1977 - 1979,House,Democrat,292
95,1977 - 1979,House,Other,.
95,1977 - 1979,House,Republican,143
95,1977 - 1979,House,Vacant,.
96,1979 - 1981,House,All,435
96,1979 - 1981,House,Democrat,276
96,1979 - 1981,House,Other,.
96,1979 - 1981,House,Republican,157
96,1979 - 1981,House,Vacant,2
97,1981 - 1983,House,All,435
97,1981 - 1983,House,Democrat,243
97,1981 - 1983,House,Other,.
97,1981 - 1983,House,Republican,192
97,1981 - 1983,House,Vacant,.
98,1983 - 1985,House,All,435
98,1983 - 1985,House,Democrat,268
98,1983 - 1985,House,Other,.
98,1983 - 1985,House,Republican,166
98,1983 - 1985,House,Vacant,1
99,1985 - 1987,House,All,435
99,1985 - 1987,House,Democrat,252
99,1985 - 1987,House,Other,.
99,1985 - 1987,House,Republican,182
99,1985 - 1987,House,Vacant,1
100,1987 - 1989,House,All,435
100,1987 - 1989,House,Democrat,258
100,1987 - 1989,House,Other,.
100,1987 - 1989,House,Republican,177
100,1987 - 1989,House,Vacant,.
101,1989 - 1991,House,All,435
101,1989 - 1991,House,Democrat,259
101,1989 - 1991,House,Other,.
101,1989 - 1991,House,Republican,174
101,1989 - 1991,House,Vacant,2
102,1991 - 1993,House,All,435
102,1991 - 1993,House,Democrat,267
102,1991 - 1993,House,Other,1
102,1991 - 1993,House,Republican,167
102,1991 - 1993,House,Vacant,.
103,1993 - 1995,House,All,435
103,1993 - 1995,House,Democrat,258
103,1993 - 1995,House,Other,1
103,1993 - 1995,House,Republican,176
103,1993 - 1995,House,Vacant,.
104,1995 - 1997,House,All,435
104,1995 - 1997,House,Democrat,204
104,1995 - 1997,House,Other,1
104,1995 - 1997,House,Republican,230
104,1995 - 1997,House,Vacant,.
105,1997 - 1999,House,All,435
105,1997 - 1999,House,Democrat,207
105,1997 - 1999,House,Other,1
105,1997 - 1999,House,Republican,227
105,1997 - 1999,House,Vacant,.
106,1999 - 2001,House,All,435
