Region,Congress,Years,Percent,Seats
Border,69,1925-1926,50,10
Border,75,1937-1938,100,10
Border,81,1949-1950,80,10
Border,87,1961-1962,60,10
Border,93,1973-1974,50,10
Border,96,1979-1980,70,10
Border,97,1981-1982,70,10
Border,98,1983-1984,70,10
Border,100,1987-1988,60,10
Border,101,1989-1990,60,10
Border,102,1991-1992,60,10
Border,103,1993-1994,60,10
Border,104,1995-1996,50,10
Border,105,1997-1998,50,10
Border,106,1999-2000,40,10
Border,107,2001-2002,50,10
Border,108,2003-2004,40,10
Border,109,2005-2006,40,10
Border,110,2007-2008,50,10
Border,111,2009-2010,50,10
Border,112,2011-2012,50,10
Border,113,2013-2014,50,10
Border,114,2015-2016,40,10
Border,115,2017-2018,40,10
Border,116,2019-2020,30,20
Mid-Atlantic,69,1925-1926,37.5,8
Mid-Atlantic,75,1937-1938,75,8
Mid-Atlantic,81,1949-1950,37.5,8
Mid-Atlantic,87,1961-1962,25,8
Mid-Atlantic,93,1973-1974,25,8
Mid-Atlantic,96,1979-1980,50,8
Mid-Atlantic,97,1981-1982,50,8
Mid-Atlantic,98,1983-1984,50,8
Mid-Atlantic,100,1987-1988,50,8
Mid-Atlantic,101,1989-1990,50,8
Mid-Atlantic,102,1991-1992,50,8
Mid-Atlantic,103,1993-1994,62.5,8
Mid-Atlantic,104,1995-1996,50,8
Mid-Atlantic,105,1997-1998,50,8
Mid-Atlantic,106,1999-2000,62.5,8
Mid-Atlantic,107,2001-2002,75,8
Mid-Atlantic,108,2003-2004,75,8
Mid-Atlantic,109,2005-2006,75,8
Mid-Atlantic,110,2007-2008,87.5,8
Mid-Atlantic,111,2009-2010,87.5,8
Mid-Atlantic,112,2011-2012,87.5,8
Mid-Atlantic,113,2013-2014,87.5,8
Mid-Atlantic,114,2015-2016,87.5,8
Mid-Atlantic,115,2017-2018,87.5,8
Mid-Atlantic,116,2019-2020,87.5,0
Midwest,69,1925-1926,10,10
Midwest,75,1937-1938,80,10
Midwest,81,1949-1950,20,10
Midwest,87,1961-1962,70,10
Midwest,93,1973-1974,60,10
Midwest,96,1979-1980,80,10
Midwest,97,1981-1982,60,10
Midwest,98,1983-1984,60,10
Midwest,100,1987-1988,70,10
Midwest,101,1989-1990,70,10
Midwest,102,1991-1992,70,10
Midwest,103,1993-1994,80,10
Midwest,104,1995-1996,60,10
Midwest,105,1997-1998,60,10
Midwest,106,1999-2000,50,10
Midwest,107,2001-2002,60,10
Midwest,108,2003-2004,60,10
Midwest,109,2005-2006,70,10
Midwest,110,2007-2008,80,10
Midwest,111,2009-2010,70,10
Midwest,112,2011-2012,50,10
Midwest,113,2013-2014,60,10
Midwest,114,2015-2016,60,10
Midwest,115,2017-2018,70,10
Midwest,116,2019-2020,60,10
New England,69,1925-1926,8.3,12
New England,75,1937-1938,50,12
New England,81,1949-1950,25,12
New England,87,1961-1962,41.7,12
New England,93,1973-1974,58.3,12
New England,96,1979-1980,58.3,12
New England,97,1981-1982,50,12
New England,98,1983-1984,50,12
New England,100,1987-1988,50,12
New England,101,1989-1990,58.3,12
New England,102,1991-1992,58.3,12
New England,103,1993-1994,58.3,12
New England,104,1995-1996,50,12
New England,105,1997-1998,50,12
New England,106,1999-2000,50,12
New England,107,2001-2002,50,12
New England,108,2003-2004,50,12
New England,109,2005-2006,50,12
New England,110,2007-2008,50,12
New England,111,2009-2010,58.3,12
New England,112,2011-2012,50,12
New England,113,2013-2014,66.7,12
New England,114,2015-2016,66.6,12
New England,115,2017-2018,75,9
New England,116,2019-2020,75,12
Pacific Coast,69,1925-1926,16.7,6
Pacific Coast,75,1937-1938,50,6
Pacific Coast,81,1949-1950,33.3,6
Pacific Coast,87,1961-1962,80,10
Pacific Coast,93,1973-1974,60,10
Pacific Coast,96,1979-1980,60,10
Pacific Coast,97,1981-1982,40,10
Pacific Coast,98,1983-1984,40,10
Pacific Coast,100,1987-1988,40,10
Pacific Coast,101,1989-1990,40,10
Pacific Coast,102,1991-1992,40,10
Pacific Coast,103,1993-1994,50,10
Pacific Coast,104,1995-1996,50,10
Pacific Coast,105,1997-1998,60,10
Pacific Coast,106,1999-2000,60,10
Pacific Coast,107,2001-2002,70,10
Pacific Coast,108,2003-2004,70,10
Pacific Coast,109,2005-2006,70,10
Pacific Coast,110,2007-2008,70,10
Pacific Coast,111,2009-2010,90,10
Pacific Coast,112,2011-2012,90,10
Pacific Coast,113,2013-2014,90,10
Pacific Coast,114,2015-2016,80,10
Pacific Coast,115,2017-2018,80,10
Pacific Coast,116,2019-2020,80,10
Plains,69,1925-1926,0,12
Plains,75,1937-1938,50,12
Plains,81,1949-1950,16.7,12
Plains,87,1961-1962,25,12
Plains,93,1973-1974,58.3,12
Plains,96,1979-1980,41.7,12
Plains,97,1981-1982,25,12
Plains,98,1983-1984,25,12
Plains,100,1987-1988,50,12
Plains,101,1989-1990,50,12
Plains,102,1991-1992,58.3,12
Plains,103,1993-1994,58.3,12
Plains,104,1995-1996,58.3,12
Plains,105,1997-1998,58.3,12
Plains,106,1999-2000,58.3,12
Plains,107,2001-2002,66.7,12
Plains,108,2003-2004,58.3,12
Plains,109,2005-2006,50,12
Plains,110,2007-2008,50,12
Plains,111,2009-2010,50,12
Plains,112,2011-2012,50,12
Plains,113,2013-2014,41.7,12
Plains,114,2015-2016,25,12
Plains,115,2017-2018,25,12
Plains,116,2019-2020,16.7,12
Rocky Mountains,69,1925-1926,50,16
Rocky Mountains,75,1937-1938,93.8,16
Rocky Mountains,81,1949-1950,75,16
Rocky Mountains,87,1961-1962,75,16
Rocky Mountains,93,1973-1974,56.2,16
Rocky Mountains,96,1979-1980,37.5,16
Rocky Mountains,97,1981-1982,31.3,16
Rocky Mountains,98,1983-1984,31.3,16
Rocky Mountains,100,1987-1988,37.5,16
Rocky Mountains,101,1989-1990,37.5,16
Rocky Mountains,102,1991-1992,37.5,16
Rocky Mountains,103,1993-1994,37.5,16
Rocky Mountains,104,1995-1996,37.5,16
Rocky Mountains,105,1997-1998,25,16
Rocky Mountains,106,1999-2000,25,16
Rocky Mountains,107,2001-2002,25,16
Rocky Mountains,108,2003-2004,18.8,16
Rocky Mountains,109,2005-2006,25,16
Rocky Mountains,110,2007-2008,31.3,16
Rocky Mountains,111,2009-2010,43.8,16
Rocky Mountains,112,2011-2012,43.8,16
Rocky Mountains,113,2013-2014,43.8,16
Rocky Mountains,114,2015-2016,31.3,16
Rocky Mountains,115,2017-2018,31.3,16
Rocky Mountains,116,2019-2020,43.8,16
South,69,1925-1926,100,22
South,75,1937-1938,100,22
South,81,1949-1950,100,22
South,87,1961-1962,100,22
South,93,1973-1974,63.6,22
South,96,1979-1980,50,22
South,97,1981-1982,54.4,22
South,98,1983-1984,50,22
South,100,1987-1988,72.7,22
South,101,1989-1990,68.2,22
South,102,1991-1992,68.2,22
South,103,1993-1994,59.1,22
South,104,1995-1996,36.4,22
South,105,1997-1998,31.8,22
South,106,1999-2000,36.4,22
South,107,2001-2002,36.4,22
South,108,2003-2004,40.9,22
South,109,2005-2006,18.2,22
South,110,2007-2008,22.7,22
South,111,2009-2010,31.8,22
South,112,2011-2012,27.3,22
South,113,2013-2014,27.3,22
South,114,2015-2016,13.6,22
South,115,2017-2018,13.6,22
South,116,2019-2020,13.6,22
