Congress,Year,TermsServing,Percentage,Seats,TotalSeats,MeanTerm,MedianTerm
83,1953,1,18.7,81,433,4.5,3
83,1953,2,16.9,73,433,4.5,3
83,1953,3,14.8,64,433,4.5,3
83,1953, 1-3,50.3,218,433,4.5,3
83,1953, 4-6,27,117,433,4.5,3
83,1953, 7-9,13.4,58,433,4.5,3
83,1953,>10,9.2,40,433,4.5,3
84,1955,1,13.1,57,435,5,4
84,1955,2,16.8,73,435,5,4
84,1955,3,14.5,63,435,5,4
84,1955, 1-3,44.4,193,435,5,4
84,1955, 4-6,27.4,119,435,5,4
84,1955, 7-9,16.8,73,435,5,4
84,1955,>10,11.5,50,435,5,4
85,1957,1,10.6,46,433,5.4,4
85,1957,2,11.5,50,433,5.4,4
85,1957,3,15.2,66,433,5.4,4
85,1957, 1-3,37.4,162,433,5.4,4
85,1957, 4-6,32.8,142,433,5.4,4
85,1957, 7-9,15.2,66,433,5.4,4
85,1957,>10,14.5,63,433,5.4,4
86,1959,1,18.8,82,436,5.2,4
86,1959,2,10.3,45,436,5.2,4
86,1959,3,11.2,49,436,5.2,4
86,1959, 1-3,40.4,176,436,5.2,4
86,1959, 4-6,31.2,136,436,5.2,4
86,1959, 7-9,14.7,64,436,5.2,4
86,1959,>10,13.1,57,436,5.2,4
87,1961,1,14.2,62,437,5.5,5
87,1961,2,14.9,65,437,5.5,5
87,1961,3,8.2,36,437,5.5,5
87,1961, 1-3,37.3,163,437,5.5,5
87,1961, 4-6,30,131,437,5.5,5
87,1961, 7-9,17.4,76,437,5.5,5
87,1961,>10,15.3,67,437,5.5,5
88,1963,1,15.4,67,434,5.5,5
88,1963,2,14.3,62,434,5.5,5
88,1963,3,12.2,53,434,5.5,5
88,1963, 1-3,41.9,182,434,5.5,5
88,1963, 4-6,24.4,106,434,5.5,5
88,1963, 7-9,18,78,434,5.5,5
88,1963,>10,15.7,68,434,5.5,5
89,1965,1,20.9,91,435,5.1,4
89,1965,2,13.3,58,435,5.1,4
89,1965,3,11.3,49,435,5.1,4
89,1965, 1-3,45.5,198,435,5.1,4
89,1965, 4-6,22.3,97,435,5.1,4
89,1965, 7-9,16.8,73,435,5.1,4
89,1965,>10,15.4,67,435,5.1,4
90,1967,1,16.6,72,433,5.3,4
90,1967,2,14.8,64,433,5.3,4
90,1967,3,10.9,47,433,5.3,4
90,1967, 1-3,42.3,183,433,5.3,4
90,1967, 4-6,24.9,108,433,5.3,4
90,1967, 7-9,15.9,69,433,5.3,4
90,1967,>10,16.9,73,433,5.3,4
91,1969,1,9.2,40,435,5.6,5
91,1969,2,17.2,75,435,5.6,5
91,1969,3,12.9,56,435,5.6,5
