Congress,Year,Freshmen,Years6orles,Years7to12,Years13to18,Years19OrMore,Total,MeanYears,MedianYears
83,1953,16,46,29,14,7,96,8.5,7
84,1955,14,42,37,8,9,96,8.4,7
85,1957,10,37,36,13,10,96,9.6,9
86,1959,20,42,30,14,12,98,9.4,8
87,1961,7,42,25,22,11,100,9.7,9
88,1963,12,42,26,18,14,100,9.9,7
89,1965,8,29,36,16,19,100,11.1,9
90,1967,7,28,34,19,19,100,11.6,9
91,1969,14,32,32,17,19,100,11.2,11
92,1971,10,25,24,29,22,100,11.5,11
93,1973,13,40,20,20,20,100,11.2,9
94,1975,12,36,22,23,19,100,11.5,9
95,1977,17,42,25,13,20,100,10.6,9
96,1979,20,48,24,10,18,100,9.6,7
97,1981,18,55,20,10,15,100,8.5,5
98,1983,5,43,28,16,13,100,9.6,7
99,1985,7,32,38,18,12,100,10.1,9
100,1987,13,26,44,16,14,100,9.6,8
101,1989,10,31,26,29,14,100,9.8,10
102,1991,5,30,23,28,19,100,11.1,11
103,1993,13,30,17,32,21,100,11.3,12
104,1995,11,29,26,20,25,100,12.3,11
105,1997,15,40,24,13,23,100,11.2,9
106,1999,8,35,24,16,25,100,11.2,10
107,2001,11,37,21,19,23,100,11.5,8
108,2003,10,30,29,16,25,100,12.7,9.5
109,2005,9,29,27,15,29,100,12.5,10
110,2007,10,29,26,14,31,100,13.1,10
111,2009,11,32,19,20,29,100,14,11
112,2011,13,42,17,14,27,100,12.3,9
113,2013,13,43,23,15,19,100,10.2,6
114,2015,13,45,24,11,20,100,9.4,6
115,2017,7,34,36,11,19,100,10.1,7.5
116,2019,9,32,33,17,18,100,10.1,8
