"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","President","Year","Congress","TotalConcurrence(H&S)","House of Representatives","House of Representatives","House of Representatives","Senate","Senate","Senate"
"2","President","Year","Congress","TotalConcurrence(H&S)","Majority","rate %","# votes","Majority","rate %","# votes"
"3","Dwight D. Eisenhower","1953","83rd","89.2","REP","91.2","34","REP","87.8","49"
"4","","1954","83rd","82.8","REP","78.9","38","REP","77.9","77"
"5","","1955","84th","75.3","DEM","63.4","41","DEM","84.6","52"
"6","","1956","84th","69.2","DEM","73.5","34","DEM","67.7","65"
"7","","1957","85th","68.4","DEM","58.3","60","DEM","78.9","57"
"8","","1958","85th","75.7","DEM","74.0","50","DEM","76.5","98"
"9","","1959","86th","52.9","DEM","55.6","54","DEM","50.4","121"
"10","","1960","86th","65.1","DEM","65.1","43","DEM","65.1","86"
"11","Average","","","72.3%","","70.0%","","","73.6%",""
"12","","","","","","","","","",""
"13","John F. Kennedy","1961","87th","81.4","DEM","83.1","65","DEM","80.6","124"
"14","","1962","87th","85.4","DEM","85.0","60","DEM","85.6","125"
"15","","1963","88th","87.1","DEM","83.1","71","DEM","89.6","115"
"16","Average","","","84.6%","","83.7%","","","85.3%",""
"17","","","","","","","","","",""
"18","Lyndon B. Johnson","1964","88th","87.9","DEM","88.5","52","DEM","87.6","97"
"19","","1965","89th","93.1","DEM","93.8","112","DEM","92.6","162"
"20","","1966","89th","78.9","DEM","91.3","103","DEM","68.8","125"
"21","","1967","90th","78.8","DEM","75.6","127","DEM","81.2","165"
"22","","1968","90th","74.5","DEM","83.5","103","DEM","68.9","164"
"23","Average","","","82.6%","","86.5%","","","78.8%",""
"24","","","","","","","","","",""
"25","Richard Nixon","1969","91st","73.9","DEM","72.3","47","DEM","76.4","72"
"26","","1970","91st","76.9","DEM","84.6","65","DEM","71.4","91"
"27","","1971","92nd","74.8","DEM","82.5","57","DEM","69.5","82"
"28","","1972","92nd","66.3","DEM","81.1","37","DEM","54.3","46"
"29","","1973","93rd","50.6","DEM","48.0","125","DEM","52.4","185"
"30","","1974","93rd","59.6","DEM","67.9","53","DEM","54.2","83"
"31","Average","","","67.0%","","72.7%","","","63.0%",""
"32","","","","","","","","","",""
"33","Gerald R. Ford","1974","93rd","58.2","DEM","59.3","54","DEM","57.4","68"
"34","","1975","94th","61.0","DEM","50.6","89","DEM","71.0","93"
"35","","1976","94th","53.8","DEM","43.1","51","DEM","64.2","53"
"36","Average","","","57.7%","","51.0%","","","64.2%",""
"37","","","","","","","","","",""
"38","Jimmy Carter","1977","95th","75.4","DEM","74.7","79","DEM","76.1","88"
"39","","1978","95th","78.3","DEM","69.6","112","DEM","84.8","151"
"40","","1979","96th","76.8","DEM","71.7","145","DEM","81.4","161"
"41","","1980","96th","75.1","DEM","76.9","117","DEM","73.3","116"
"42","Average","","","76.4%","","73.2%","","","78.9%",""
"43","","","","","","","","","",""
"44","Ronald Reagan","1981","97th","82.4","DEM","72.4","76","REP","88.3","128"
