President,Year,Congress,total_hs_concurrence,house_majority,house_concurrence_rate,house_n_votes,senate_majority,senate_concurrence_rate,senate_n_votes,president_party,unified_government
Dwight D. Eisenhower,1953,83rd,89.2,REP,91.2,34,REP,87.8,49,REP,TRUE
Dwight D. Eisenhower,1954,83rd,82.8,REP,78.9,38,REP,77.9,77,REP,TRUE
Dwight D. Eisenhower,1955,84th,75.3,DEM,63.4,41,DEM,84.6,52,REP,FALSE
Dwight D. Eisenhower,1956,84th,69.2,DEM,73.5,34,DEM,67.7,65,REP,FALSE
Dwight D. Eisenhower,1957,85th,68.4,DEM,58.3,60,DEM,78.9,57,REP,FALSE
Dwight D. Eisenhower,1958,85th,75.7,DEM,74,50,DEM,76.5,98,REP,FALSE
Dwight D. Eisenhower,1959,86th,52.9,DEM,55.6,54,DEM,50.4,121,REP,FALSE
Dwight D. Eisenhower,1960,86th,65.1,DEM,65.1,43,DEM,65.1,86,REP,FALSE
John F. Kennedy,1961,87th,81.4,DEM,83.1,65,DEM,80.6,124,DEM,TRUE
John F. Kennedy,1962,87th,85.4,DEM,85,60,DEM,85.6,125,DEM,TRUE
John F. Kennedy,1963,88th,87.1,DEM,83.1,71,DEM,89.6,115,DEM,TRUE
Lyndon B. Johnson,1964,88th,87.9,DEM,88.5,52,DEM,87.6,97,DEM,TRUE
Lyndon B. Johnson,1965,89th,93.1,DEM,93.8,112,DEM,92.6,162,DEM,TRUE
Lyndon B. Johnson,1966,89th,78.9,DEM,91.3,103,DEM,68.8,125,DEM,TRUE
Lyndon B. Johnson,1967,90th,78.8,DEM,75.6,127,DEM,81.2,165,DEM,TRUE
Lyndon B. Johnson,1968,90th,74.5,DEM,83.5,103,DEM,68.9,164,DEM,TRUE
Richard Nixon,1969,91st,73.9,DEM,72.3,47,DEM,76.4,72,REP,FALSE
Richard Nixon,1970,91st,76.9,DEM,84.6,65,DEM,71.4,91,REP,FALSE
Richard Nixon,1971,92nd,74.8,DEM,82.5,57,DEM,69.5,82,REP,FALSE
Richard Nixon,1972,92nd,66.3,DEM,81.1,37,DEM,54.3,46,REP,FALSE
Richard Nixon,1973,93rd,50.6,DEM,48,125,DEM,52.4,185,REP,FALSE
Richard Nixon,1974,93rd,59.6,DEM,67.9,53,DEM,54.2,83,REP,FALSE
Gerald R. Ford,1974,93rd,58.2,DEM,59.3,54,DEM,57.4,68,REP,FALSE
Gerald R. Ford,1975,94th,61,DEM,50.6,89,DEM,71,93,REP,FALSE
Gerald R. Ford,1976,94th,53.8,DEM,43.1,51,DEM,64.2,53,REP,FALSE
Jimmy Carter,1977,95th,75.4,DEM,74.7,79,DEM,76.1,88,DEM,TRUE
Jimmy Carter,1978,95th,78.3,DEM,69.6,112,DEM,84.8,151,DEM,TRUE
Jimmy Carter,1979,96th,76.8,DEM,71.7,145,DEM,81.4,161,DEM,TRUE
Jimmy Carter,1980,96th,75.1,DEM,76.9,117,DEM,73.3,116,DEM,TRUE
Ronald Reagan,1981,97th,82.4,DEM,72.4,76,REP,88.3,128,REP,FALSE
Ronald Reagan,1982,97th,72.4,DEM,55.8,77,REP,83.2,119,REP,FALSE
Ronald Reagan,1983,98th,67.1,DEM,47.6,82,REP,85.9,85,REP,FALSE
Ronald Reagan,1984,98th,65.8,DEM,52.2,113,REP,85.7,77,REP,FALSE
Ronald Reagan,1985,99th,59.9,DEM,45,80,REP,71.6,102,REP,FALSE
Ronald Reagan,1986,99th,56.1,DEM,34.1,88,REP,81.2,80,REP,FALSE
Ronald Reagan,1987,100th,43.5,DEM,33.3,99,DEM,56.4,78,REP,FALSE
Ronald Reagan,1988,100th,47.4,DEM,32.7,104,DEM,64.8,88,REP,FALSE
George Bush,1989,101st,62.6,DEM,50,86,DEM,73.3,101,REP,FALSE
George Bush,1990,101st,46.8,DEM,32.4,108,DEM,63.4,93,REP,FALSE
George Bush,1991,102nd,54.2,DEM,43,111,DEM,69,81,REP,FALSE
George Bush,1992,102nd,43,DEM,37,105,DEM,53,60,REP,FALSE
William J. Clinton,1993,103rd,86.4,DEM,87.2,102,DEM,85.4,89,DEM,TRUE
William J. Clinton,1994,103rd,86.4,DEM,87.2,78,DEM,85.5,62,DEM,TRUE
William J. Clinton,1995,104th,36.2,REP,26.3,133,REP,49,102,DEM,FALSE
William J. Clinton,1996,104th,55.1,REP,53.2,79,REP,57.6,59,DEM,FALSE
William J. Clinton,1997,105th,53.6,REP,38.7,75,REP,71.4,63,DEM,FALSE
William J. Clinton,1998,105th,50.6,REP,36.6,82,REP,67,72,DEM,FALSE
William J. Clinton,1999,106th,37.8,REP,35.4,82,REP,42.2,45,DEM,FALSE
William J. Clinton,2000,106th,55,REP,49.3,69,REP,65,40,DEM,FALSE
George W. Bush,2001,107th,86.7,REP,83.7,43,DEM*,88.3,77,REP,FALSE
George W. Bush,2002,107th,87.8,REP,82.5,40,DEM*,91.4,58,REP,FALSE
George W. Bush,2003,108th,78.7,REP,87.3,48,REP,74.8,89,REP,TRUE
George W. Bush,2004,108th,72.6,REP,70.6,24,REP,74,37,REP,TRUE
George W. Bush,2005,109th,78,REP,78.3,46,REP,77.8,45,REP,TRUE
George W. Bush,2006,109th,80.9,REP,85,40,REP,78.6,70,REP,TRUE
George W. Bush,2007,110th,38.3,DEM,15.4,117,DEM,66,97,REP,FALSE
George W. Bush,2008,110th,26.3,DEM,33.8,80,DEM,68.5,54,REP,FALSE
Barack Obama,2009,111th,96.7,DEM,94.4,72,DEM,98.8,79,DEM,TRUE
Barack Obama,2010,111th,85.8,DEM,88.1,42,DEM,84.4,64,DEM,TRUE
Barack Obama,2011,112th,57.1,REP,31.6,95,DEM,84.3,89,DEM,FALSE
Barack Obama,2012,112th,53.6,REP,19.7,61,DEM,79.7,79,DEM,FALSE
Barack Obama,2013,113th,56.7,REP,20.9,86,DEM,85.2,108,DEM,FALSE
Barack Obama,2014,113th,,,,,,,,DEM,FALSE
Barack Obama,2015,114th,,,,,,,,DEM,FALSE
Barack Obama,2016,,,,,,,,,DEM,FALSE
Donald J. Trump,2017,,,,,,,,,REP,TRUE
Donald J. Trump,2018,,,,,,,,,REP,TRUE
Donald J. Trump,2019,,,DEM,,,REP,,,REP,FALSE
Donald J. Trump,2020,,,DEM,,,REP,,,REP,FALSE
