"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2007",13729.06,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2008",14829.21,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2009",15967.56,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2010",15799.73,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2011",16522.7,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2012",15942.87,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2013",17481.89,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2014",17503.68,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2015",17683.02,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2016",18502.36,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2017",18798.65,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2018",19609.14,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2007",19397.8,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2008",20605.94,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2009",22181.25,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2010",22218.72,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2011",22633.45,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2012",23802.6,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2013",24758.19,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2014",25593.4,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2015",25542.95,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2016",26367.43,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2017",26875.12,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2018",27685.04,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2019",28268.63,
"AUT","GGEXP","TOT","PC_GDP","A","1995",55.8060741611047,
"AUT","GGEXP","TOT","PC_GDP","A","1996",55.6243949300562,
"AUT","GGEXP","TOT","PC_GDP","A","1997",52.27210394706,
"AUT","GGEXP","TOT","PC_GDP","A","1998",52.2242426288898,
"AUT","GGEXP","TOT","PC_GDP","A","1999",52.0615197660953,
"AUT","GGEXP","TOT","PC_GDP","A","2000",51.0329883250733,
"AUT","GGEXP","TOT","PC_GDP","A","2001",51.3557052104913,
"AUT","GGEXP","TOT","PC_GDP","A","2002",51.0543046642687,
"AUT","GGEXP","TOT","PC_GDP","A","2003",51.2709905691504,
"AUT","GGEXP","TOT","PC_GDP","A","2004",53.7051142847075,
"AUT","GGEXP","TOT","PC_GDP","A","2005",51.1555228390606,
"AUT","GGEXP","TOT","PC_GDP","A","2006",50.3799335721589,
"AUT","GGEXP","TOT","PC_GDP","A","2007",49.2441121401072,
"AUT","GGEXP","TOT","PC_GDP","A","2008",49.8739846837189,
"AUT","GGEXP","TOT","PC_GDP","A","2009",54.1448005065337,
"AUT","GGEXP","TOT","PC_GDP","A","2010",52.8397855413296,
"AUT","GGEXP","TOT","PC_GDP","A","2011",50.8969148481795,
"AUT","GGEXP","TOT","PC_GDP","A","2012",51.213027812319,
"AUT","GGEXP","TOT","PC_GDP","A","2013",51.6476665446164,
