"Country","Indicator","Year","value","last_value","diff_value","pct_change","lag_pct_change","lag_diff_value"
"Andorra","DT.DOD.DECT.GN.ZS",1975,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1976,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1977,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1978,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1979,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1980,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1981,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1982,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1983,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1984,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1985,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1986,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1987,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1988,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1989,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1990,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1991,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1992,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1993,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1994,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1995,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1996,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1997,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1998,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",1999,NA,NA,NA,NA,NA,NA
"Andorra","DT.DOD.DECT.GN.ZS",2000,NA,NA,NA,NA,NA,NA
