Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,0.65,0.65,--,--,0.615,--,0.6,0.6,0.6,0.6,0.6,0.6,0.5708,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.465,0.465,0.465,0.465,0.465,0.475,0.465
Austria,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Belgium,0.6,--,--,--,0.7632,0.7632,0.7632,0.7632,--,0.7155,0.7155,0.7113,0.707,0.707,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.638969525,0.633007543,0.5564,0.535,0.535,0.535,0.535,0.537,0.537,0.537,0.537,0.537,0.537,0.537
Canada,0.47,--,--,--,0.6192,--,0.6278,0.5032,--,0.34,0.34,0.34,0.34,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.464096,0.464096,0.464096,0.464096,0.464096,0.464096,0.464096,0.464096,0.464096,0.464,0.464,0.464,0.48,0.495
Chile,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.45,0.45,0.43,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Czech Republic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.55,0.55,0.47,0.44,0.43,0.4,0.4,0.4,0.4,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.15,0.15,0.15,0.15,0.15,0.15
Denmark,0.4,0.654,--,--,0.66,--,0.7,0.7,--,0.396,0.396,0.396,0.22,0.68,0.68,0.68,0.68,0.68,0.68,0.645,0.635,0.65,0.6,0.58,0.59,0.597,0.597,0.543661,0.597,0.59732,0.59733,0.59737,0.59737,0.59734,0.522,0.522,0.602,0.602,0.604
Estonia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.26,0.26,0.26,0.26,0.26,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21
Finland,0.51,0.7075,--,--,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.44,0.43,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.5517,0.5468,0.5378,0.5303,0.5212,0.518,0.509,0.5045,0.5005,0.49,0.49,0.492,0.49,0.511
France,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,--,0.7,0.65,0.6135,0.531,0.5179,0.5179,0.5179,0.5179,0.565,0.565,0.568,--,--,--,--,--,0.583,0.583,0.578,0.548,0.534,0.535,0.535,0.458,0.458,0.467,0.467,0.505,0.544,0.545
Germany,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53805,0.511675,0.511675,0.511675,0.47475,0.4431,0.4431,0.47475,0.47475,0.475,0.475,0.475,0.475,0.475
Greece,0.63,--,--,--,0.6,0.6,0.6,0.6,--,0.63,0.63,0.63,0.63,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.449999999,0.425000001,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.45,0.45,0.49,0.49,0.46
Hungary,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.5,0.5,0.4,0.4,0.44,0.44,0.48,0.42,0.42,0.4,0.4,0.4,0.4,0.4,0.38,0.38,0.36,0.36,0.36,0.32,0.32,0.16,0.16,0.16
Iceland,--,--,--,--,--,--,--,--,--,--,0.38,--,--,--,--,--,--,0.33,--,--,--,--,--,--,--,0.4537,0.4266,0.4554,0.4355,0.4258,0.3973,0.3672,0.3572,0.357,0.461,0.461,0.462,0.462,0.462
Ireland,0.77,0.77,--,--,0.6,0.6,0.6,0.6,--,0.65,0.65,0.6,0.58,0.58,0.58,0.56,0.53,0.52,0.48,0.48,0.48,0.48,0.48,0.46,0.46,0.44,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.47,0.47,0.48,0.48,0.48
